NO,주소1,주소2,단지명,전용면적(㎡),평수(전용),계약년월,계약연도,계약월,계약일,거래금액(만원),동,층,건축년도,도로명
1,신북읍,천전리,춘천해강,37.35,11.29832416,202008,2020,08,29,6000,-,6,1997,상천2길 52
2,신북읍,천전리,춘천해강,59.96,18.13781838,202008,2020,08,28,7400,-,10,1997,상천2길 52
3,신북읍,천전리,춘천해강,59.96,18.13781838,202008,2020,08,26,8000,-,19,1997,상천2길 52
4,신북읍,천전리,춘천해강,37.35,11.29832416,202008,2020,08,4,5500,-,15,1997,상천2길 52
5,신북읍,천전리,춘천해강,37.35,11.29832416,202008,2020,08,3,5900,-,20,1997,상천2길 52
6,신북읍,천전리,춘천해강,59.96,18.13781838,202007,2020,07,11,8500,-,10,1997,상천2길 52
7,신북읍,천전리,춘천해강,59.96,18.13781838,202005,2020,05,25,8500,-,9,1997,상천2길 52
8,신북읍,천전리,춘천해강,37.35,11.29832416,202005,2020,05,27,5200,-,14,1997,상천2길 52
9,신북읍,천전리,춘천해강,37.35,11.29832416,202005,2020,05,18,4900,-,5,1997,상천2길 52
10,신북읍,천전리,춘천해강,37.35,11.29832416,202011,2020,11,11,6000,-,7,1997,상천2길 52
11,신북읍,천전리,춘천해강,37.35,11.29832416,202010,2020,10,23,6400,-,11,1997,상천2길 52
12,신북읍,천전리,춘천해강,37.35,11.29832416,202010,2020,10,12,6500,-,10,1997,상천2길 52
13,신북읍,천전리,춘천해강,59.96,18.13781838,202010,2020,10,20,7500,-,13,1997,상천2길 52
14,신북읍,천전리,춘천해강,59.96,18.13781838,202010,2020,10,20,8600,-,14,1997,상천2길 52
15,신북읍,천전리,춘천해강,59.96,18.13781838,202009,2020,09,28,9500,-,16,1997,상천2길 52
16,신북읍,천전리,춘천해강,37.35,11.29832416,202009,2020,09,23,5200,-,20,1997,상천2길 52
17,신북읍,천전리,춘천해강,37.35,11.29832416,202009,2020,09,17,4500,-,18,1997,상천2길 52
18,신북읍,천전리,춘천해강,59.96,18.13781838,202005,2020,05,13,8300,-,6,1997,상천2길 52
19,신북읍,천전리,춘천해강,59.96,18.13781838,202103,2021,03,31,9200,-,8,1997,상천2길 52
20,신북읍,천전리,춘천해강,37.35,11.29832416,202104,2021,04,3,6600,-,10,1997,상천2길 52
21,신북읍,천전리,춘천해강,37.35,11.29832416,202104,2021,04,12,5000,-,19,1997,상천2길 52
22,신북읍,천전리,춘천해강,59.96,18.13781838,202103,2021,03,16,8700,-,2,1997,상천2길 52
23,신북읍,천전리,춘천해강,37.35,11.29832416,202103,2021,03,23,5400,-,6,1997,상천2길 52
24,신북읍,천전리,춘천해강,59.96,18.13781838,202103,2021,03,6,8000,-,7,1997,상천2길 52
25,신북읍,천전리,춘천해강,59.96,18.13781838,202102,2021,02,26,8400,-,9,1997,상천2길 52
26,신북읍,천전리,춘천해강,59.96,18.13781838,202101,2021,01,23,8200,-,4,1997,상천2길 52
27,신북읍,천전리,춘천해강,59.96,18.13781838,202102,2021,02,20,8900,-,16,1997,상천2길 52
28,신북읍,천전리,춘천해강,59.96,18.13781838,202102,2021,02,8,8000,-,2,1997,상천2길 52
